Student ID,Student Name,Gender,Class,Subject,Study Hours,Attendance %,Assignment Score,Midterm Score,Final Exam Score,Overall Score
STU072,Student 072,Female,10th,Physics,4.7,92.8,95.0,70.9,100.0,88.3
STU014,Student 014,Female,12th,English,6.1,86.8,75.3,76.9,51.4,70.1
STU142,Student 142,Unknown,9th,Physics,1.0,67.4,40.9,79.15,32.5,36.8
STU068,Student 068,Male,12th,Physics,1.0,74.6,64.2,49.2,41.4,50.2
STU037,Student 037,Female,9th,Mathematics,2.2,75.4,53.7,71.6,57.7,60.6
STU073,Student 073,Female,12th,Physics,5.2,95.6,74.6,87.0,92.2,84.1
STU059,Student 059,Male,9th,Physics,5.4,94.3,100.0,74.8,79.2,86.2
STU065,Student 065,Male,11th,English,4.6,86.8,91.4,82.1,67.9,75.0
STU103,Student 103,Male,12th,Physics,1.0,89.7,21.4,55.0,28.8,38.3
STU083,Student 083,Male,10th,Chemistry,5.1,77.9,80.3,70.6,72.5,70.3
STU053,Student 053,Male,9th,Chemistry,3.3,70.6,79.3,73.9,71.6,72.8
STU035,Student 035,Male,10th,Physics,3.2,100.0,89.8,69.7,61.5,80.2
STU049,Student 049,Male,12th,Physics,4.8,78.6,79.4,87.9,90.1,89.3
STU057,Student 057,Female,11th,Mathematics,4.3,77.3,65.0,80.4,91.6,92.5
STU148,Student 148,Female,11th,Mathematics,3.8,98.3,57.5,70.7,61.6,63.5
STU079,Student 079,Male,10th,Chemistry,2.9,82.7,78.9,75.7,75.8,81.7
STU070,Student 070,Male,9th,Physics,4.4,89.2,64.1,96.0,74.0,72.9
STU087,Student 087,Male,11th,Mathematics,4.9,90.3,68.5,79.2,81.0,81.0
STU135,Student 135,Female,Unknown,Mathematics,3.5,88.2,89.2,75.4,55.5,72.2
STU029,Student 029,Male,9th,Chemistry,1.4,64.2,56.3,33.1,37.5,48.7
STU008,Student 008,Female,12th,Chemistry,4.1,91.7,65.8,100.0,75.7,84.0
STU004,Student 004,Male,10th,Chemistry,4.8,84.0,82.5,73.0,80.7,75.8
STU033,Student 033,Female,9th,English,4.3,83.9,81.8,79.1,61.8,68.5
STU038,Student 038,Male,12th,Computer Science,1.6,72.2,58.0,54.5,43.3,49.5
STU043,Student 043,Male,9th,Mathematics,1.9,83.95,70.4,79.8,36.4,50.7
STU129,Student 129,Male,12th,Mathematics,1.0,71.5,43.0,61.5,51.1,51.9
STU055,Student 055,Female,11th,Chemistry,2.8,100.0,69.4,61.6,46.1,60.8
STU088,Student 088,Female,10th,Chemistry,5.5,97.5,73.0,60.1,81.1,82.7
STU128,Student 128,Male,9th,Physics,2.8,67.3,68.0,63.8,74.0,62.5
STU112,Student 112,Female,11th,Mathematics,2.4,66.1,62.5,55.3,39.7,54.9
STU133,Student 133,Male,10th,Computer Science,4.3,84.0,75.0,85.9,92.6,86.5
STU032,Student 032,Male,11th,Computer Science,4.8,100.0,81.9,84.3,88.7,82.9
STU143,Student 143,Male,10th,Computer Science,4.6,97.2,81.8,84.0,83.6,92.9
STU064,Student 064,Female,10th,Physics,2.6,88.4,71.8,66.3,68.1,71.7
STU094,Student 094,Male,12th,Computer Science,3.1,87.2,67.5,43.4,54.8,54.7
STU046,Student 046,Female,9th,Chemistry,2.3,78.9,50.6,67.2,53.1,58.0
STU126,Student 126,Female,Unknown,Mathematics,1.7,63.0,52.3,59.4,42.6,55.0
STU140,Student 140,Male,10th,Mathematics,5.2,81.4,80.7,100.0,100.0,93.9
STU030,Student 030,Male,12th,Computer Science,2.1,64.9,56.9,74.0,64.1,64.6
STU054,Student 054,Male,11th,English,3.5,89.2,40.9,74.0,69.2,72.6
STU001,STUDENT 001,Male,9th,Mathematics,4.6,77.6,85.7,100.0,76.9,79.2
STU145,Student 145,Female,12th,Computer Science,5.1,84.5,63.4,88.1,77.8,82.4
STU061,Student 061,Male,11th,Chemistry,4.9,88.0,79.5,87.2,100.0,93.9
STU019,Student 019,Female,11th,Physics,2.1,69.0,49.4,57.6,67.2,71.6
STU084,Student 084,Male,12th,Chemistry,5.6,81.5,84.5,75.6,83.9,77.6
STU107,Student 107,Male,9th,Chemistry,1.7,74.1,39.8,76.6,59.2,60.9
STU149,Student 149,Female,9th,Mathematics,1.9,76.4,66.8,89.2,59.3,71.9
STU067,Student 067,Male,10th,English,4.8,83.2,66.3,93.4,67.4,76.4
STU039,Student 039,Male,9th,Mathematics,3.0,72.1,50.8,74.3,60.1,68.9
STU122,Student 122,Male,12th,English,3.1,83.95,58.8,71.8,66.4,67.2
STU116,Student 116,Female,10th,English,3.9,71.0,88.8,64.8,73.8,79.5
STU062,Student 062,Female,9th,Mathematics,2.5,73.0,70.4,60.5,70.1,74.1
STU024,Student 024,Female,10th,Physics,4.9,86.6,100.0,92.0,88.5,88.3
STU002,STUDENT 002,Female,10th,Computer Science,5.0,83.95,100.0,100.0,86.6,95.2
STU120,Student 120,Female,12th,Chemistry,2.5,92.5,61.1,79.15,70.1,71.5
STU132,Student 132,Male,9th,English,3.5,93.4,70.4,73.3,78.2,73.3
STU105,Student 105,Male,11th,English,3.9,82.4,78.8,79.5,74.0,78.6
STU089,Student 089,Female,Unknown,Computer Science,4.7,87.3,82.0,85.2,78.9,81.3
STU139,Student 139,Female,10th,Physics,3.9,71.2,97.2,82.3,74.0,66.6
STU077,Student 077,Male,12th,Mathematics,6.3,88.2,85.0,89.4,95.2,93.3
STU078,Student 078,Male,12th,Computer Science,3.7,83.1,89.1,76.5,83.9,83.0
STU013,Student 013,Male,12th,Physics,7.5,100.0,97.1,100.0,100.0,100.0
STU034,Student 034,Female,11th,English,5.2,94.9,61.6,100.0,82.5,88.5
STU124,Student 124,Female,10th,Mathematics,3.5,92.2,65.9,100.0,45.3,70.0
STU042,Student 042,Female,9th,Mathematics,5.0,81.7,73.6,95.8,75.5,82.4
STU114,Student 114,Male,12th,Physics,5.7,84.3,90.4,84.4,80.0,86.4
STU096,Student 096,Female,12th,Physics,3.4,82.4,63.0,85.3,68.9,75.0
STU012,Student 012,Male,10th,Mathematics,5.3,73.1,79.3,100.0,76.4,80.1
STU115,Student 115,Female,12th,Mathematics,4.3,84.2,91.5,88.5,79.2,86.0
STU076,Student 076,Male,9th,Mathematics,3.3,81.7,89.1,96.7,78.7,80.7
STU097,Student 097,Female,11th,Mathematics,3.8,81.1,67.4,100.0,75.1,80.3
STU006,Student 006,Male,11th,Physics,5.3,88.0,82.0,100.0,72.6,91.8
STU023,Student 023,Female,9th,Mathematics,4.1,59.6,71.8,82.3,74.0,75.6
STU020,Student 020,Male,12th,Chemistry,1.0,78.2,39.1,63.0,48.2,44.2
STU100,Student 100,Male,10th,English,3.8,83.95,64.2,72.2,59.3,65.6
STU022,Student 022,Male,11th,Physics,5.0,85.2,77.2,99.2,74.0,83.2
STU074,Student 074,Female,10th,Chemistry,5.1,76.9,85.2,100.0,84.6,89.9
STU018,Student 018,Female,9th,English,5.5,97.0,81.8,100.0,93.7,95.7
STU144,Student 144,Male,12th,Physics,5.4,95.9,83.5,100.0,100.0,100.0
STU063,Student 063,Male,9th,English,2.9,81.6,70.4,87.0,62.0,79.8
STU028,Student 028,Male,12th,Physics,3.9,84.5,58.5,97.3,65.7,71.9
STU048,Student 048,Unknown,11th,Mathematics,3.5,77.7,85.0,80.6,62.1,69.7
STU080,Student 080,Female,12th,English,2.3,73.2,92.2,79.15,48.4,66.7
STU040,Student 040,Female,9th,Mathematics,6.0,88.0,96.0,100.0,85.9,94.5
STU021,Student 021,Male,10th,Computer Science,4.2,83.95,42.8,100.0,74.0,78.5
STU141,Student 141,Female,10th,Mathematics,5.1,84.5,100.0,75.0,64.2,83.0
STU131,Student 131,Female,9th,Physics,5.4,79.6,79.3,76.7,85.4,75.0
STU108,Student 108,Male,12th,Mathematics,6.0,100.0,63.1,81.2,83.4,83.1
STU060,Student 060,Female,Unknown,Physics,1.0,83.0,54.3,41.0,74.0,47.6
STU056,Student 056,Male,10th,Physics,3.3,96.7,75.7,76.2,72.7,77.8
STU069,Student 069,Female,10th,Physics,4.8,83.5,56.5,98.6,81.8,83.7
STU036,Student 036,Male,9th,Computer Science,5.6,86.3,100.0,81.6,87.1,91.3
STU130,Student 130,Female,12th,Chemistry,1.7,80.1,80.8,54.3,58.3,62.9
